#1's Destiny child [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"BMG Music Entertainment,"	c2005.	||||	Subject:	Popular Music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	781.63	F51	(n/a)	||||	Barcode:	CD 2508
10 minute trainer 	-	Author:	(n/a)	||||	Publisher:	[ s.l ] :	"Educational Institute, American Hotel and Motel As"	c2000.	||||	Subject:	Hotel keepers.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	647.068	T25	2000	||||	Barcode:	VT 538
10 minute trainer 	-	Author:	(n/a)	||||	Publisher:	[ s.l ] :	"Educational Institute, American Hotel and Motel As"	c2000.	||||	Subject:	Hotel keepers.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	647.068	T25	2000	||||	Barcode:	VT 951
10 minute trainer 	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"Educational Institute,"	c1999.	||||	Subject:	Securities	||||	Location:	Audio Visual Center	||||	Call ID:	VT	651	T25	(n/a)	||||	Barcode:	VT 952
100 greatest discoveries 	-	Author:	"Angelella, Micheal"	||||	Publisher:	[s.l.] :	"Discovery Communications, Inc,"	c2007.	||||	Subject:	"Medicine, history"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	610	An4	(n/a)	||||	Barcode:	CD 2738
100 greatest discoveries 	-	Author:	(n/a)	||||	Publisher:	"Silver Spring, MD :"	"Discovery Communication,"	c2007.	||||	Subject:	Clinical medicine	||||	Location:	Audio Visual Center	||||	Call ID:	CD	616	On2	2007	||||	Barcode:	CD 3929
101 American English idioms [computer file] 	-	Author:	"Collis, Harry."	||||	Publisher:	"Chicago, IL :"	"McGraw Hill,"	c2007.	||||	Subject:	English language	||||	Location:	Audio Visual Center	||||	Call ID:	CD	427.973	C69	(n/a)	||||	Barcode:	CD 2851
101 Digital sound effects 	-	Author:	(n/a)	||||	Publisher:	California :	"Delta Music,"	c1993.	||||	Subject:	Sound effects	||||	Location:	Audio Visual Center	||||	Call ID:	CD	534	On2	1993	||||	Barcode:	CD 1888
101 Digital sound effects 	-	Author:	(n/a)	||||	Publisher:	California :	"Delta Music,"	c1993.	||||	Subject:	Sound effects	||||	Location:	Audio Visual Center	||||	Call ID:	CD	534	On2	1993	||||	Barcode:	CD 1886
101 Digital sound effects 	-	Author:	(n/a)	||||	Publisher:	California :	"Delta Music,"	c1993.	||||	Subject:	Sound effects	||||	Location:	Audio Visual Center	||||	Call ID:	CD	534	On2	1993	||||	Barcode:	CD 1885
101 Japanese idioms 	-	Author:	"Maynard, Michael L."	||||	Publisher:	Illinois :	"Passport Books,"	c1993.	||||	Subject:	JApanese language	||||	Location:	Audio Visual Center	||||	Call ID:	CT	495.6	M45	1993	||||	Barcode:	CT 106
